in s,C1 in V
-1.8611520E-04,2.026772703503E+00
-1.8610560E-04,2.028288690608E+00
-1.8609600E-04,2.027527857732E+00
-1.8608640E-04,2.028375614744E+00
-1.8607680E-04,2.027347616379E+00
-1.8606720E-04,2.027984386452E+00
-1.8605760E-04,2.027402944334E+00
-1.8604800E-04,2.028443080105E+00
-1.8603840E-04,2.027846033324E+00
-1.8602880E-04,2.028023912713E+00
-1.8601920E-04,2.027991258495E+00
-1.8600960E-04,2.028522303228E+00
-1.8600000E-04,2.027815847595E+00
-1.8599040E-04,2.028830077846E+00
-1.8598080E-04,2.027330875185E+00
-1.8597120E-04,2.028393845681E+00
-1.8596160E-04,2.027782836959E+00
-1.8595200E-04,2.027789958094E+00
-1.8594240E-04,2.027822467342E+00
-1.8593280E-04,2.028846284815E+00
-1.8592320E-04,2.028318145082E+00
-1.8591360E-04,2.027970380459E+00
-1.8590400E-04,2.027597432763E+00
-1.8589440E-04,2.028513018761E+00
-1.8588480E-04,2.027472144526E+00
-1.8587520E-04,2.028124669038E+00
-1.8586560E-04,2.027421596565E+00
-1.8585600E-04,2.028843359791E+00
-1.8584640E-04,2.028764602013E+00
-1.8583680E-04,2.028783596244E+00
-1.8582720E-04,2.028791112241E+00
-1.8581760E-04,2.028349277519E+00
-1.8580800E-04,2.028504747481E+00
-1.8579840E-04,2.028316353385E+00
-1.8578880E-04,2.027691590164E+00
-1.8577920E-04,2.028560065024E+00
-1.8576960E-04,2.027805664476E+00
-1.8576000E-04,2.028411453490E+00
-1.8575040E-04,2.027933063984E+00
-1.8574080E-04,2.028191071555E+00
-1.8573120E-04,2.027764417801E+00
-1.8572160E-04,2.028822894238E+00
-1.8571200E-04,2.027480961245E+00
-1.8570240E-04,2.027569761977E+00
-1.8569280E-04,2.028385691338E+00
-1.8568320E-04,2.028232098774E+00
-1.8567360E-04,2.026684810233E+00
-1.8566400E-04,2.028646732860E+00
-1.8565440E-04,2.026387935572E+00
-1.8564480E-04,2.027812723138E+00
-1.8563520E-04,2.027790815097E+00
-1.8562560E-04,2.027189835713E+00
-1.8561600E-04,2.027351397604E+00
-1.8560640E-04,2.027972864166E+00
-1.8559680E-04,2.027206599333E+00
-1.8558720E-04,2.028324437246E+00
-1.8557760E-04,2.028210133866E+00
-1.8556800E-04,2.028600408242E+00
-1.8555840E-04,2.027972759243E+00
-1.8554880E-04,2.028683904365E+00
-1.8553920E-04,2.027886423797E+00
-1.8552960E-04,2.028334972777E+00
-1.8552000E-04,2.027226959162E+00
-1.8551040E-04,2.028284493696E+00
-1.8550080E-04,2.028054261033E+00
-1.8549120E-04,2.027417898637E+00
-1.8548160E-04,2.027663007912E+00
-1.8547200E-04,2.028015586168E+00
-1.8546240E-04,2.028541697927E+00
-1.8545280E-04,2.028859996062E+00
-1.8544320E-04,2.028186545458E+00
-1.8543360E-04,2.028311389976E+00
-1.8542400E-04,2.026812119235E+00
-1.8541440E-04,2.028303637702E+00
-1.8540480E-04,2.027856444709E+00
-1.8539520E-04,2.028429082122E+00
-1.8538560E-04,2.027046995733E+00
-1.8537600E-04,2.028121436455E+00
-1.8536640E-04,2.027623460025E+00
-1.8535680E-04,2.028215393622E+00
-1.8534720E-04,2.027947413579E+00
-1.8533760E-04,2.028641590841E+00
-1.8532800E-04,2.027120806922E+00
-1.8531840E-04,2.028313421153E+00
