in s,C1 in V
-1.8479520E-04,2.92969E-02
-1.8478560E-04,2.92969E-02
-1.8477600E-04,8.78906E-02
-1.8476640E-04,2.92969E-02
-1.8475680E-04,2.92969E-02
-1.8474720E-04,9.76562E-03
-1.8473760E-04,9.76562E-03
-1.8472800E-04,6.83594E-02
-1.8471840E-04,9.76562E-03
-1.8470880E-04,9.76562E-03
-1.8469920E-04,9.76562E-03
-1.8468960E-04,2.92969E-02
-1.8468000E-04,9.76562E-03
-1.8467040E-04,2.92969E-02
-1.8466080E-04,2.92969E-02
-1.8465120E-04,9.76562E-03
-1.8464160E-04,6.83594E-02
-1.8463200E-04,9.76562E-03
-1.8462240E-04,6.83594E-02
-1.8461280E-04,2.92969E-02
-1.8460320E-04,9.76562E-03
-1.8459360E-04,8.78906E-02
-1.8458400E-04,9.76562E-03
-1.8457440E-04,9.76562E-03
-1.8456480E-04,9.76562E-03
-1.8455520E-04,2.92969E-02
-1.8454560E-04,2.92969E-02
-1.8453600E-04,9.76562E-03
-1.8452640E-04,9.76562E-03
-1.8451680E-04,2.92969E-02
-1.8450720E-04,9.76562E-03
-1.8449760E-04,9.76562E-03
-1.8448800E-04,8.78906E-02
-1.8447840E-04,9.76562E-03
-1.8446880E-04,2.92969E-02
-1.8445920E-04,9.76562E-03
-1.8444960E-04,2.92969E-02
-1.8444000E-04,9.76562E-03
-1.8443040E-04,9.76562E-03
-1.8442080E-04,9.76562E-03
-1.8441120E-04,9.76562E-03
-1.8440160E-04,2.92969E-02
-1.8439200E-04,4.88281E-02
-1.8438240E-04,2.92969E-02
-1.8437280E-04,9.76562E-03
-1.8436320E-04,9.76562E-03
-1.8435360E-04,9.76562E-03
-1.8434400E-04,2.92969E-02
-1.8433440E-04,4.88281E-02
-1.8432480E-04,8.78906E-02
-1.8431520E-04,9.76562E-03
-1.8430560E-04,9.76562E-03
-1.8429600E-04,4.88281E-02
-1.8428640E-04,2.92969E-02
-1.8427680E-04,2.92969E-02
-1.8426720E-04,9.76562E-03
-1.8425760E-04,2.92969E-02
-1.8424800E-04,2.92969E-02
-1.8423840E-04,9.76562E-03
-1.8422880E-04,9.76562E-03
-1.8421920E-04,9.76562E-03
-1.8420960E-04,2.92969E-02
-1.8420000E-04,4.88281E-02
-1.8419040E-04,2.92969E-02
-1.8418080E-04,2.92969E-02
-1.8417120E-04,4.88281E-02
-1.8416160E-04,2.92969E-02
-1.8415200E-04,2.92969E-02
-1.8414240E-04,9.76562E-03
-1.8413280E-04,9.76562E-03
-1.8412320E-04,9.76562E-03
-1.8411360E-04,9.76562E-03
-1.8410400E-04,2.92969E-02
-1.8409440E-04,9.76562E-03
-1.8408480E-04,9.76562E-03
-1.8407520E-04,9.76562E-03
-1.8406560E-04,2.92969E-02
-1.8405600E-04,2.92969E-02
-1.8404640E-04,2.92969E-02
-1.8403680E-04,9.76562E-03
-1.8402720E-04,9.76562E-03
-1.8401760E-04,9.76562E-03
-1.8400800E-04,9.76562E-03
-1.8399840E-04,9.76562E-03
-1.8398880E-04,2.92969E-02
-1.8397920E-04,9.76562E-03
-1.8396960E-04,9.76562E-03
-1.8396000E-04,9.76562E-03
-1.8395040E-04,9.76562E-03
-1.8394080E-04,2.92969E-02
-1.8393120E-04,4.88281E-02
-1.8392160E-04,2.92969E-02
-1.8391200E-04,2.92969E-02
-1.8390240E-04,2.92969E-02
-1.8389280E-04,9.76562E-03
-1.8388320E-04,9.76562E-03
-1.8387360E-04,9.76562E-03
-1.8386400E-04,9.76562E-03
-1.8385440E-04,4.88281E-02
-1.8384480E-04,4.88281E-02
-1.8383520E-04,4.88281E-02
-1.8382560E-04,2.92969E-02
-1.8381600E-04,4.88281E-02
-1.8380640E-04,9.76562E-03
-1.8379680E-04,9.76562E-03
-1.8378720E-04,2.92969E-02
-1.8377760E-04,9.76562E-03
-1.8376800E-04,9.76562E-03
-1.8375840E-04,9.76562E-03
-1.8374880E-04,9.76562E-03
-1.8373920E-04,9.76562E-03
-1.8372960E-04,9.76562E-03
-1.8372000E-04,9.76562E-03
-1.8371040E-04,9.76562E-03
-1.8370080E-04,9.76562E-03
-1.8369120E-04,2.92969E-02
-1.8368160E-04,4.88281E-02
-1.8367200E-04,9.76562E-03
-1.8366240E-04,4.88281E-02
-1.8365280E-04,9.76562E-03
-1.8364320E-04,4.88281E-02
-1.8363360E-04,9.76562E-03
-1.8362400E-04,9.76562E-03
-1.8361440E-04,9.76562E-03
-1.8360480E-04,9.76562E-03
-1.8359520E-04,2.92969E-02
-1.8358560E-04,9.76562E-03
-1.8357600E-04,4.88281E-02
-1.8356640E-04,9.76562E-03
-1.8355680E-04,9.76562E-03
-1.8354720E-04,2.92969E-02
-1.8353760E-04,9.76562E-03
-1.8352800E-04,4.88281E-02
-1.8351840E-04,9.76562E-03
-1.8350880E-04,4.88281E-02
-1.8349920E-04,9.76562E-03
-1.8348960E-04,9.76562E-03
-1.8348000E-04,2.92969E-02
-1.8347040E-04,9.76562E-03
-1.8346080E-04,2.92969E-02
-1.8345120E-04,9.76562E-03
-1.8344160E-04,9.76562E-03
-1.8343200E-04,9.76562E-03
-1.8342240E-04,9.76562E-03
-1.8341280E-04,9.76562E-03
-1.8340320E-04,4.88281E-02
-1.8339360E-04,9.76562E-03
-1.8338400E-04,2.92969E-02
-1.8337440E-04,6.83594E-02
-1.8336480E-04,4.88281E-02
-1.8335520E-04,2.92969E-02
-1.8334560E-04,2.92969E-02
-1.8333600E-04,2.92969E-02
-1.8332640E-04,9.76562E-03
-1.8331680E-04,2.92969E-02
-1.8330720E-04,9.76562E-03
-1.8329760E-04,9.76562E-03
-1.8328800E-04,9.76562E-03
-1.8327840E-04,9.76562E-03
-1.8326880E-04,9.76562E-03
-1.8325920E-04,2.92969E-02
-1.8324960E-04,9.76562E-03
-1.8324000E-04,4.88281E-02
-1.8323040E-04,9.76562E-03
-1.8322080E-04,4.88281E-02
-1.8321120E-04,9.76562E-03
-1.8320160E-04,9.76562E-03
-1.8319200E-04,9.76562E-03
-1.8318240E-04,9.76562E-03
-1.8317280E-04,2.92969E-02
-1.8316320E-04,9.76562E-03
-1.8315360E-04,9.76562E-03
-1.8314400E-04,2.92969E-02
-1.8313440E-04,2.92969E-02
-1.8312480E-04,2.92969E-02
-1.8311520E-04,2.92969E-02
-1.8310560E-04,9.76562E-03
-1.8309600E-04,9.76562E-03
-1.8308640E-04,2.92969E-02
-1.8307680E-04,2.92969E-02
-1.8306720E-04,9.76562E-03
-1.8305760E-04,9.76562E-03
-1.8304800E-04,9.76562E-03
-1.8303840E-04,2.92969E-02
-1.8302880E-04,4.88281E-02
-1.8301920E-04,4.88281E-02
-1.8300960E-04,9.76562E-03
-1.8300000E-04,2.92969E-02
-1.8299040E-04,4.88281E-02
-1.8298080E-04,9.76562E-03
-1.8297120E-04,4.88281E-02
-1.8296160E-04,9.76562E-03
-1.8295200E-04,9.76562E-03
-1.8294240E-04,2.92969E-02
-1.8293280E-04,9.76562E-03
-1.8292320E-04,9.76562E-03
-1.8291360E-04,2.92969E-02
-1.8290400E-04,9.76562E-03
-1.8289440E-04,9.76562E-03
-1.8288480E-04,9.76562E-03
-1.8287520E-04,2.92969E-02
-1.8286560E-04,9.76562E-03
-1.8285600E-04,2.92969E-02
-1.8284640E-04,9.76562E-03
-1.8283680E-04,4.88281E-02
-1.8282720E-04,9.76562E-03
-1.8281760E-04,4.88281E-02
-1.8280800E-04,9.76562E-03
-1.8279840E-04,9.76562E-03
-1.8278880E-04,2.92969E-02
-1.8277920E-04,9.76562E-03
-1.8276960E-04,9.76562E-03
-1.8276000E-04,9.76562E-03
-1.8275040E-04,4.88281E-02
-1.8274080E-04,9.76562E-03
-1.8273120E-04,9.76562E-03
-1.8272160E-04,9.76562E-03
-1.8271200E-04,9.76562E-03
-1.8270240E-04,4.88281E-02
-1.8269280E-04,4.88281E-02
-1.8268320E-04,9.76562E-03
-1.8267360E-04,2.92969E-02
-1.8266400E-04,9.76562E-03
-1.8265440E-04,9.76562E-03
-1.8264480E-04,9.76562E-03
-1.8263520E-04,9.76562E-03
-1.8262560E-04,2.92969E-02
-1.8261600E-04,2.92969E-02
-1.8260640E-04,9.76562E-03
-1.8259680E-04,9.76562E-03
-1.8258720E-04,9.76562E-03
-1.8257760E-04,2.92969E-02
-1.8256800E-04,9.76562E-03
-1.8255840E-04,2.92969E-02
-1.8254880E-04,9.76562E-03
-1.8253920E-04,9.76562E-03
-1.8252960E-04,9.76562E-03
-1.8252000E-04,9.76562E-03
-1.8251040E-04,9.76562E-03
-1.8250080E-04,9.76562E-03
-1.8249120E-04,9.76562E-03
-1.8248160E-04,2.92969E-02
-1.8247200E-04,9.76562E-03
-1.8246240E-04,9.76562E-03
-1.8245280E-04,4.88281E-02
-1.8244320E-04,9.76562E-03
-1.8243360E-04,9.76562E-03
-1.8242400E-04,6.83594E-02
-1.8241440E-04,9.76562E-03
-1.8240480E-04,9.76562E-03
-1.8239520E-04,2.92969E-02
-1.8238560E-04,2.92969E-02
-1.8237600E-04,9.76562E-03
-1.8236640E-04,9.76562E-03
-1.8235680E-04,9.76562E-03
-1.8234720E-04,9.76562E-03
-1.8233760E-04,2.92969E-02
-1.8232800E-04,9.76562E-03
-1.8231840E-04,2.92969E-02
-1.8230880E-04,9.76562E-03
-1.8229920E-04,4.88281E-02
-1.8228960E-04,2.92969E-02
-1.8228000E-04,2.92969E-02
-1.8227040E-04,9.76562E-03
-1.8226080E-04,4.88281E-02
-1.8225120E-04,4.88281E-02
-1.8224160E-04,4.88281E-02
-1.8223200E-04,6.83594E-02
-1.8222240E-04,9.76562E-03
-1.8221280E-04,2.92969E-02
-1.8220320E-04,9.76562E-03
-1.8219360E-04,4.88281E-02
-1.8218400E-04,9.76562E-03
-1.8217440E-04,9.76562E-03
-1.8216480E-04,2.92969E-02
-1.8215520E-04,9.76562E-03
-1.8214560E-04,2.92969E-02
-1.8213600E-04,9.76562E-03
-1.8212640E-04,9.76562E-03
-1.8211680E-04,9.76562E-03
-1.8210720E-04,2.92969E-02
-1.8209760E-04,9.76562E-03
-1.8208800E-04,9.76562E-03
-1.8207840E-04,9.76562E-03
-1.8206880E-04,9.76562E-03
-1.8205920E-04,9.76562E-03
-1.8204960E-04,4.88281E-02
-1.8204000E-04,9.76562E-03
-1.8203040E-04,2.92969E-02
-1.8202080E-04,2.92969E-02
-1.8201120E-04,4.88281E-02
-1.8200160E-04,2.92969E-02
-1.8199200E-04,2.92969E-02
-1.8198240E-04,2.92969E-02
-1.8197280E-04,9.76562E-03
-1.8196320E-04,2.92969E-02
-1.8195360E-04,9.76562E-03
-1.8194400E-04,9.76562E-03
-1.8193440E-04,2.92969E-02
-1.8192480E-04,4.88281E-02
-1.8191520E-04,9.76562E-03
-1.8190560E-04,2.92969E-02
-1.8189600E-04,9.76562E-03
-1.8188640E-04,9.76562E-03
-1.8187680E-04,9.76562E-03
-1.8186720E-04,2.92969E-02
-1.8185760E-04,2.92969E-02
-1.8184800E-04,9.76562E-03
-1.8183840E-04,9.76562E-03
-1.8182880E-04,9.76562E-03
-1.8181920E-04,9.76562E-03
-1.8180960E-04,9.76562E-03
-1.8180000E-04,9.76562E-03
-1.8179040E-04,9.76562E-03
-1.8178080E-04,9.76562E-03
-1.8177120E-04,9.76562E-03
-1.8176160E-04,4.88281E-02
-1.8175200E-04,9.76562E-03
-1.8174240E-04,9.76562E-03
-1.8173280E-04,9.76562E-03
-1.8172320E-04,2.92969E-02
-1.8171360E-04,9.76562E-03
-1.8170400E-04,9.76562E-03
-1.8169440E-04,8.78906E-02
-1.8168480E-04,9.76562E-03
-1.8167520E-04,9.76562E-03
-1.8166560E-04,9.76562E-03
-1.8165600E-04,4.88281E-02
-1.8164640E-04,9.76562E-03
-1.8163680E-04,9.76562E-03
-1.8162720E-04,9.76562E-03
-1.8161760E-04,2.92969E-02
-1.8160800E-04,9.76562E-03
-1.8159840E-04,9.76562E-03
-1.8158880E-04,2.92969E-02
-1.8157920E-04,2.92969E-02
-1.8156960E-04,9.76562E-03
